,Region,rsu_raf,nombre,glosa,fono,glosa1,Direccion,Email,Socios,Socias,FechaConstitucion,Column1,FechaUltimaDirectiva,NombreOficina,FechaDepositoEstatutos,Empresa,NombreDirigente,InicioMandato,FinMandato,glosa2,TotalMiembros
10353,13,13160459,SINDICATO DE TRABAJADORES INDEPENDIENTES TODOS 2020,ACTIVO,56986597201,SINDICATO INDEPENDIENTE,LA CAÑAMERA # 0640,,63,77,19/10/2020,477399 VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS N.C.P.,15-03-2021 0:00:00,ICT LA FLORIDA,26/10/2020,,MARGARITA ANDREA CARRASCO ALBIÑA,15/03/2021,2024-03-15T00:00:00.000,PRESIDENTE,140
2267,13,93010156,ASOCIACION NACIONAL DE FUNCIONARIOS DE LA CORPORACION DE ASISTENCIA JUDICIAL REGION METROPOLITANA,ACTIVO,3896840,ASOCIACION DE FUNCIONARIOS,"HUERFANOS N° 1160, OF. 808",,58,138,20/11/2003,,20-11-2021 0:00:00,IPT SANTIAGO,27/11/2003,,ZULEMA DEL CARMEN DIAZ CASTRO,16/03/2022,2024-03-16T00:00:00.000,DIRECTOR,196
14024,13,13090506,SINDICATO Nº 2 DE LA INDUSTRIA DE ALIMENTOS DOS EN UNO S.A. PLANTA Nº 2,ACTIVO,05380406,SINDICATO EMPRESA,LAS ENCINAS N? 338,sindicato2bagley@gmail.com,151,0,28/02/1996,"107300 ELABORACIÓN DE CACAO, CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA",28-12-2021 0:00:00,ICT MAIPÚ,04/03/1996,: 84476300-K INDUSTRIA DE ALIMENTOS DOS EN UNO SOCIEDAD ANONIMA,LEONARDO GARRIDO ARANCIBIA,16/03/2022,2024-03-16T00:00:00.000,PRESIDENTE,151
1539,13,93070032,ASOCIACION DE FUNCIONARIOS MUNICIPALES DE LA ILUSTRE MUNICIPALIDAD DE RENCA.,ACTIVO,6856718,ASOCIACION DE FUNCIONARIOS,BLANCO ENCALADA 1335,directiva.AFIMUR@RENCA.CL,138,0,11/03/1996,0 ACTIVIDADES NO ESPECIFICADAS,11-01-2022 0:00:00,ICT STGO NORTE,11/03/1996,,SEBASTIAN GOITY VIVAR,16/03/2022,2024-03-16T00:00:00.000,PRESIDENTE,138
10925,13,13091201,SINDICATO DE TRABAJADORES Nº 3 DE LA EMPRESA INDUSTRIA DE ALIMENTOS DOS EN UNO LTDA.,ACTIVO,5566590-5442638,SINDICATO EMPRESA,ARAUCO N° 1126,sindi.numero3@gmail.com,110,21,08/06/1995,"107300 ELABORACIÓN DE CACAO, CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA",16-03-2021 0:00:00,ICT MAIPÚ,12/06/1995,: 84476300-K INDUSTRIA DE ALIMENTOS DOS EN UNO SOCIEDAD ANONIMA,ROLANDO ANTONIO LOYOLA SOTO,16/03/2021,2024-03-16T00:00:00.000,PRESIDENTE,131
7416,13,13014875,SINDICATO DE TRABAJADORES DE EMPRESA TMF,ACTIVO,995075506,SINDICATO EMPRESA,HUERFANOS 727,,35,78,01/12/2017,,05-03-2022 0:00:00,IPT SANTIAGO,01/12/2017,: 76646770-9 TMF CHILE ASESORIAS EMPRESARIALES LIMITADA,MACARENA ELISA YAÑEZ YAÑEZ,16/03/2022,2024-03-16T00:00:00.000,PRESIDENTE,113
195,13,93080003,ASOCIACION DE ACADEMICOS DE LA UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,ACTIVO,2412400,ASOCIACION DE FUNCIONARIOS,JOSE PEDRO ALESSANDRI No 774,,51,58,01/01/1991,941200 ACTIVIDADES DE ASOCIACIONES PROFESIONALES,17-03-2022 0:00:00,ICT SANTIAGO SUR ORIENTE,16/01/1995,,JOSE PATRICIO ESCORZA WALKER,17/03/2022,2024-03-17T00:00:00.000,PRESIDENTE,109
6114,13,13071983,SINDICATO DE ESTABLECIMIENTO DE LOS TRABAJADORES DE HIPERMERCADO RECOLETA LTDA.,ACTIVO,6223638 (empresa),SINDICATO ESTABLECIMIENTO,AV. RECOLETA Nº 3501,l.reco_86@hotmail.com,34,70,09/03/2012,"471100 VENTA AL POR MENOR EN COMERCIOS DE ALIMENTOS, BEBIDAS O TABACO (SUPERMERCADOS E HIPERMERCADOS)",10-03-2020 0:00:00,ICT STGO NORTE,13/03/2012,: 76134941-4 ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA: 76134946-5 ADMINISTRADORA DE SUPERMERCADOS EXPRESS LIMITADA,CLAUDIA RITA LONCOMIL CAYUNAO,17/03/2020,2024-03-17T00:00:00.000,PRESIDENTE,104
12927,13,13014423,SINDICATO NACIONAL DE EMPRESA A PUNTO SERVICIOS DE ALIMENTACION S.A.,ACTIVO,92951578,SINDICATO EMPRESA,ALAMEDA 1346,,16,82,08/09/2014,0 ACTIVIDADES NO ESPECIFICADAS,20-04-2022 0:00:00,IPT SANTIAGO,09/09/2014,: 78234160-K A PUNTO SERVICIOS DE ALIMENTACION S.A,ANGELICA RODRIGUEZ GRANDON,17/03/2022,2024-03-17T00:00:00.000,PRESIDENTE,98
6321,13,13090995,SINDICATO DE ESTABLECIMIENTO WALMART VESPUCIO MAIPU,ACTIVO,9-4753676,SINDICATO ESTABLECIMIENTO,PJE. CONTAO Nº 2941,sindicatowalmartvespuciomaipu@hotmail.com,24,86,23/01/2012,"471100 VENTA AL POR MENOR EN COMERCIOS DE ALIMENTOS, BEBIDAS O TABACO (SUPERMERCADOS E HIPERMERCADOS)",12-02-2022 0:00:00,ICT MAIPÚ,25/01/2012,: 76134941-4 ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA: 76134946-5 ADMINISTRADORA DE SUPERMERCADOS EXPRESS LIMITADA: 76232647-7 WALMART CHILE MAYORISTA LIMITADA: 76473580-3 EKONO LIMITADA: 76833720-9 ABARROTES ECONOMICOS LIMITADA,DORIS LEYLA BRAVO TORRES,23/03/2022,2024-03-23T00:00:00.000,PRESIDENTE,110
